"LIBRARYREFERENCE","FOOTPRINT1","ADJUSTMENT TYPE","CATEGORY","COIL POWER","COIL TYPE","COIL VOLTAGE","COLOR","COMMENT","COMPONENTLINK1DESCRIPTION","COMPONENTLINK1URL","CONTACT FORM","CONTACT RATING","CURRENT - CONT DRAIN","CURRENT - SATURATION","CURRENT RATING","CURRENT TRANSFER RATIO","DC FORWARD CURRENT","DC FOWARD CURRENT","DC RESISTANCE (DCR)","DELAY TIME","DIGIKEY PART NUMBER","DIGIKEY PN","DRAIN TO SOURCE VOLTAGE (VDSS)","FET TYPE","FORWARD VOLTAGE","FREQUENCY","FREQUENCY - SELF RESONANT","FREQUENCY - TEST","HEIGHT - SEATED (MAX)","IMPEDENCE (MAX)","INDUCTANCE","ISOLATION","ISOLATION VOLTAGE","LOGIC LEVEL - HIGH","LOGIC LEVEL - LOW","MANFACTURER","MANUFACTURE","MANUFACTURE PART NUMBER","MANUFACTURER","MANUFACTURER PART NUMBER","MANUFACTURER PN","MANUFACTURER_PN","MANUFACTURERPARTNUMBER","MATERIAL - CORE","MFG","MFG_PN","MOUNTING TYPE","OPERATE TIME","OPERATING TEMPERATURE","OUTPUT TYPE","PACKAGE","PACKAGE / CASE","PACKAGE/CASE","PACKAGING","PITCH","POWER","POWER (MAX)","POWER (W)","PRICING 1","Q @ FREQ","RDS ON (MAX) @ ID, VGS","RESISTANCE","REVERSE_STANDOFF_VOLTAGE","ROHS","SHIELDING","SIZE / DIMENSION","STOCK 1","SUPPLIER","SUPPLIER 1","SUPPLIER DEVICE PACKAGE","SUPPLIER PART NUMBER","SUPPLIER PART NUMBER 1","SUPPLIER PN","SUPPLIER_PN","SUPPLIERPARTNUMBER","SUPPLY VOLTAGE","SWITCHING VOLTAGE","TOLERANCE","TOLERENCE","TURNS","TYPE","VALUE","VENDOR","VENDOR PART NUMBER","VGS","VOLTAGE","VOLTAGE - FORWARD","VOLTAGE - SUPPLY'","VOLTAGE - ZENER (NOM)","VOLTAGE SUPPLY","SHEETPART","DESIGNATOR","DESCRIPTION"
"CAP CER 2.2UF 25V 10% 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata Electronics North America","","","","GRM188R61E225KA12D","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","490-10731-1-ND","","","","","","","","","","","2.2uF","","","","25V","","","","","","C?","2.2µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"CAP CER 20PF 100V 5% NP0 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata Electronics North America","","","","GCM1885C2A220JA16D","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-4942-1-ND","","","","","","","20pF","","","","50V","","","","","","C?","22pF 100V Ceramic Capacitor C0G, NP0 0603 (1608 Metric) 0.063" L x 0.031" W (1.60mm x 0.80mm)"
"CAP CER 22UF 16V X5R 1210","CAPC3225X28M","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata","","","","GRM32ER61C226ME20L","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-1881-1-ND","","","","","","","22uF","","","","16V","","","","","","C?","22µF ±20% 16V Ceramic Capacitor X5R 1210 (3225 Metric)"
"CAP CER 22UF 6.3V X7R 1206","CAPC3216X18N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata","","","","GRM31CR70J226KE19L","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-6515-1-ND","","","","","","","22uF","","","","6.3V","","","","","","C?","22µF ±10% 6.3V Ceramic Capacitor X7R 1206 (3216 Metric)"
"CAP CER 22uF 25V 20% X5R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Wurth Electronics Inc","","","","885012106019","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","732-7916-1-ND","","","","","","","22uF","","","","25V","","","","","","C?","0.22µF ±20% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"CAP CER 4.7UF 25V 10% X5R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata Electronics North America","","","","GRM188R61E475KE11D","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-7203-1-ND","","","","","","","4.7uF","","","","25V","","","","","","C?","4.7µF ±10% 25V Ceramic Capacitor X5R 0603 (1608 Metric)"
"CAP CER 6800pF 50V 10% X7R 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Samsung Electro-Mechanics America, Inc.","","","","CL10B682KB8SFNC","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","1276-2103-1-ND","","","","","","","6800pF","","","","50V","","","","","","C?","6800pF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric)"
"CAP CER 8PF 50V NP0 0603","CAPC1608X06N","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Murata Electronics North America","","","","GRM1885C1H8R0DA01D","","","","","","","","","","","","","","","","","","","","","","","","","Digi-Key","","","","","","","490-9670-1-ND","","","","","","","8pF","","","","50V","","","","","","C?","8pF ±0.5pF 50V Ceramic Capacitor C0G, NP0 0603 (1608 Metric)"
"CAP TANT 22UF 6.3V 10% 1206","CAP TANT 22UF 6.3V 10% 1206","","","","","","","=Value","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","AVX Corporation","","TAJA226K006RNJ","","","","","","","","","","","","","","","","","","","","","","","","","","","Digikey","","","","","478-3865-2-ND","","","","","","","","","22uF","","","","6.3V","","","","","*","C?","22µF ±10% Molded Tantalum Capacitors 6.3V 1206 (3216 Metric) 3 Ohm"
"CD4043B SR Latch","CD4043BDR-16SOIC","","","","","","","SR LATCH","","","","","","","","","","","","50ns","","","","","","","","","","","","","","","","","Texas Instruments","","","","","","","","","","","","","Tri-State","16SOIC","","","","","","","","","","","","","","","","","","Digi-Key","","","296-31496-1-ND","","","","3-18V","","","","","","","","","","","","","","","*","U?","S-R Latch 4 Channel 1:1 IC Tri-State 16-TSSOP"
